Stufe;Frage;Richtige_Antwort;Falsche_Antwort_1;Falsche_Antwort_2;Falsche_Antwort_3
50;Nachdem er sie beinahe über den Haufen gerannt hatte, fragte die empörte Wühlmaus den Maulwurf: „Bist ...?“?;du blind;Ion dond;a thend;lissa bond
100;Was macht der Innenarchitekt mit einer Wohnung?;gestalten;figuren;personen;geschöpfe
200;Wenn jemand ein Hühnerprodukt entwendet, heißt das, dass er ein ...?;Ei klaut;Drobb bocks;Wann dreif;Beck ab
300;Ein Heilaufenthalt an Nord- oder Ostsee ist sozusagen eine ...?;Meer-Kur;Saa-Turn;Ju-Pitter;Nepp-Tun
500;Was gehört bei vielen Drummern zu ihrem Schlagzeug?;Kuhglocke;Hamsterrad;Hundeleine;Katzenklappe
1000;Währenddessen - oder auch: ...?;alldieweil;nättowenn;liedeldann;pännials
2000;Welchen nächtlichen Zeitpunkt wird es 2023 bei uns nicht geben?;26. März, 2:15 Uhr;26. Mai, 2:30 Uhr;26. Juli, 2:45 Uhr;26. September, 3:00 Uhr
4000;Wie heißt die 2022 in die Kinos gekommene Fortsetzung eines Films von Sönke Wortmann?;Der Nachname;Das Passfoto;Der Geburtsort;Die Unterschrift
8000;Weil scheinbar keine klare Unterscheidung möglich ist, wurden Spieler welcher Positionen im WM-Kader des DFB gemeinsam aufgeführt?;Mittelfeld/Sturm;Torwart/Abwehr;Abwehr/Mittelwert;Sturm/Torwart
16000;Von den 17 Regionen, aus denen Spanien besteht, ist dasnnach Unabhängigkeit strebende Katalonien die ...?;östliche;nördlichste;südlichste;westliche
32000;Michael Landon, der in „Unsere kleine Farm“ den Familienvater Charles Ingalls spielte, wurde zuvor bekannt als ...?;Little Joe in „Bonanza“;John-Boy in „Die Waltons“;Sandy Ricks in „Flipper;Timmy Martin in „Lassie“
64000;In welchen Städten leben im berühmten Erich-Kästner-Roman die beiden 9-jährigen Zwillingsschwestern Lotte und Luise?;München & Wien;Köln & Berlin;Hamburg & Frankfurt;Hannover & Leipzig
125000;Steht bei einem Musikstück die Vortragsbezeichnung „rallentando“, so spielt das Orchester allmählich ...?;langsamer;schneller;lauter;leiser
500000;Die Königsprotea ...?;ist Nationalblume Südafrikas;hat Giftzähne;verfügt über 42 Tasten;trug man früher bei Hofe
1000000;Welche beiden Namen verabschiedeten sich 2021 aus den Top 10 der hierzulande beliebtesten Erstnamen bei Jungen?;Ben und Henry;Noah und Emil;Leon und Finn;Paul und Elias
